,Country,Happiness_score,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,Country_Code,2017,Hours
60,Bolivia,5.779,3.1,8.6,8.3,8.4,6.5,8.4,10,5.9,3.5,9.3,7,4.9,BOL,3.23300004,41.3475
61,Hungary,5.758,5.4,8.7,10,7.3,9,8.8,10,5.4,6,9.7,8,7.3,HUN,4.156000137,39.8
62,Paraguay,5.743,4.1,7.6,10,8.2,7.5,7.7,5,8.3,3.9,9.4,7.3,6.2,PRY,4.614999771,44.1982
64,Peru,5.697,4.7,8.4,10,8.2,9,8.7,7.5,7.5,4.7,9.7,8.2,7.2,PER,3.460000038,44.6
65,Portugal,5.693,7.2,9.9,10,9.4,9.5,9.6,9,6.2,6.8,9.4,8.3,6.8,PRT,8.866999626,39
66,Pakistan,5.653,3.5,6.3,4.2,4,9,7.2,5.8,7,3.6,6.7,5.8,6.4,PAK,3.180999994,
67,Russia,5.648,4,7.7,5,4.6,5,6.1,9,6.3,4.8,9.3,6.8,6.6,RUS,,
68,Philippines,5.631,3.4,6.7,7.5,8.5,8,8.5,6.7,8.3,4.2,9.5,7.2,7.4,PHL,2.552000046,
69,Serbia,5.603,4.4,9.3,10,8.3,8,8.5,8.2,6.4,5,8.2,7.6,7.2,SRB,13.47700024,42.9116
70,Moldova,5.529,4.5,9.2,8.3,6,6,7.4,10,6.4,4.3,8.1,7.5,6.9,MDA,4.09800005,
71,Libya,5.525,2.3,6.9,5.8,6.9,2.5,6.3,3.8,3.7,3.6,6.5,2.3,6.2,LBY,17.12199974,
72,Montenegro,5.523,5.2,9.1,10,8.9,-,7.7,9,5.9,4.9,8.1,8.2,7,MNE,16.07099915,42.5
73,Tajikistan,5.467,3,8.9,8.3,4.4,2,4.3,6.3,5.1,5,7.5,5.9,6.6,TJK,10.73799992,
74,Croatia,5.432,5.7,9.9,10,8.1,9,8.6,10,5.7,5.6,9.6,8.2,7.3,HRV,11.20800018,39.6
75,Hong Kong S.A.R. of China,5.43,,,,,,,,,,,,,HKG,,
76,Dominican Republic,5.425,,,,,,,,,,,,,DOM,5.831999779,42.6517
77,Bosnia and Herzegovina,5.386,5.5,9.1,8.3,8.5,9.5,8.7,9,5.6,4.2,8.3,7.8,7.5,BIH,20.46999931,41.5886
78,Turkey,5.373,4,7.7,6.7,4.5,4.5,4.4,8.2,6.6,4.6,8.8,7.3,6,TUR,10.81900024,46.2
79,Malaysia,5.339,5.4,8.5,5,3.9,4,6.8,2.3,6.4,5.6,8.2,7.8,8.7,MYS,3.410000086,45.4
80,Belarus,5.323,5.1,9.2,8.3,5.2,2.5,5.8,9,6.1,5.3,7.4,6.8,7.5,BLR,5.650000095,
81,Greece,5.287,5.8,8.7,10,7.3,10,8.7,8.3,4.4,5.7,8,7.7,7.2,GRC,21.48800087,39.1
82,Mongolia,5.285,5.3,9.2,8.3,8.6,8.5,8.2,8.2,7.9,5.8,9.1,6.7,7.6,MNG,6.359000206,48.3448
83,Macedonia,5.274,,,,,,,,,,,,,MKD,,
84,Nigeria,5.265,4.3,6.1,5.8,7.3,9,8.2,2.5,8.6,3.3,8.6,6.1,7.8,NGA,6.013000011,46.261
85,Kyrgyzstan,5.261,,,,,,,,,,,,,KGZ,,35.7
86,Turkmenistan,5.247,,,,,,,,,,,,,TKM,3.694999933,
87,Algeria,5.211,3.8,7.8,5.8,4.9,5,7.3,0,3.6,4.7,7.3,2.8,5.4,DZA,11.99600029,41.9
88,Morocco,5.208,4.2,7.7,9.2,4.4,5,7.1,1.3,6.2,5.6,7.3,7.1,7.3,MAR,9.05300045,
89,Azerbaijan,5.208,4.3,9.5,8.3,5.5,3,4,5.8,4.8,5.5,6.8,7.3,7.2,AZE,5,
90,Lebanon,5.197,4.3,7,10,7.2,9,8.3,2.5,8.4,3.8,9.6,6.8,6.4,LBN,6.113999844,
